gaiaid,Galactic_Longitude,Galactic_Latitude,A_G,feh,feh_e
2105004192359662336,72.9092723019521,17.83217451889598,0.041537092184888,-1.28,0.1
2131968508140833920,78.90443773003176,18.564658235937856,0.0268393518733122,-1.23,0.1
2497458508359533184,175.79580535253845,-51.69517344228109,0.0421761243723478,-1.86,0.21
5335614752064948224,294.66453766042355,2.437943791018707,0.1207770834299052,-2.35,0.13
2132161064413068160,80.23054434396423,19.053815053007103,0.0225791372902468,-1.47,0.1
2133132895253493760,81.92156764776247,16.73859007212696,0.0308865557272244,-1.37,0.15
2254366868398077312,95.64868544991027,22.49929631028696,0.0164018261448019,-0.96,0.1
234108363683247616,154.92830816179796,-2.2735520482334013,0.2328207269645263,-0.41,0.1
2371321782802181888,134.256691314944,-78.62587187045412,0.0191709656237944,-1.45,0.13
2381771781829913984,35.76061301850339,-69.06324035724595,0.0204490299987141,-1.9,0.15
2414817603803476864,73.27270279460139,-75.084657538966,0.0200230085404075,-1.75,0.13
2438710609949867776,75.48496349615237,-65.23512998060035,0.0225791372902468,-0.83,0.1
2558296724402139392,143.5442258234968,-59.89126301391671,0.0283304269773851,-1.55,0.1
2689556491246048896,51.31513919857034,-31.4713779192398,0.055595800309004,-1.52,0.15
2828497068363486720,85.61489401440302,-38.35601906632564,0.0653942938500545,-1.59,0.1
2973463347160718976,221.1095757646222,-34.3688583865414,0.019596987082101,-2.1,0.13
2981136563934324224,214.25664298937428,-33.88310484810329,0.0421761243723478,-1.45,0.13
3030561879348972544,230.72425940408488,5.54318072441059,0.1359008451997876,-1.4,0.13
3111925220109675136,214.34659862734537,6.545681540068903,0.0255612874983926,-0.6,0.13
3323274788307690112,200.10582973697845,-6.659311032610351,0.1188599868675258,-2.15,0.13
3587566361077304704,278.86779828709183,49.48787856722865,0.0129936544783495,-1.7,0.13
3626569264033312896,303.46934964949463,52.61025747429333,0.0355727917685964,-1.82,0.1
3797319369672686592,265.313562588208,57.06438426522316,0.0157627939573421,-2.05,0.1
4224859720193721856,43.08434612777867,-24.9873700772728,0.0451582745804936,-0.46,0.1
4417888542753226112,6.15685034538836,44.09786841575136,0.0279044055190786,-1.95,0.13
4596935593202765184,55.87361884997755,24.80190014908355,0.0285434377065384,-0.49,0.1
4709830423483623808,301.6599639633064,-53.71598518197874,0.0072423647912112,-1.9,0.15
4818348922610995200,241.10829761203604,-38.779392750513125,0.0066033326037514,-0.75,0.13
4818854972838127360,246.4593181029355,-35.050779278796995,0.0072423647912112,-1.35,0.13
4825302302864705152,236.8003304963359,-35.243069869064776,0.0066033326037514,-1.55,0.13
4860671839583430912,237.8696882899448,-55.25516002884399,0.0059643004162916,-1.95,0.13
5283957629860435072,276.8738503691171,-29.05156857533256,0.0210880621861739,-1.6,0.13
5360400630327427072,284.1644640038698,8.601639699684124,0.0679504225998938,-1.6,0.13
5390917850431396224,280.30462859647463,13.3038355440755,0.0377028990601291,-1.4,0.13
5412243359495900928,272.32744949614124,5.6017398858196445,0.0950027852023593,-1.92,0.1
5461994302138361728,266.93899529292645,22.07790675464537,0.0400460170808151,-1.8,0.13
5510293236607430656,258.23754925603066,-14.742386886207674,0.0541047252049311,-1.07,0.15
5769986338215537280,304.3640698137474,-21.68386335893537,0.0692284869748134,-1.64,0.1
5773390391856998656,308.3663459449729,-18.10455311030705,0.118220954680066,-1.92,0.1
5810433728873201408,324.24248479777344,-20.22863911737932,0.0449452638513404,-0.75,0.13
5918501428232052992,336.06454208839426,-15.541574886036134,0.0786009590575573,-1.0,0.13
